idade,regiao,ano,percentual_celular,sexo
12,N,2015,36.5,T
12,NE,2015,43.6,T
12,SE,2015,63.6,T
12,S,2015,61.5,T
12,CO,2015,63.8,T
16,N,2015,65.0,T
16,NE,2015,72.4,T
16,SE,2015,87.5,T
16,S,2015,89.2,T
16,CO,2015,89.8,T
12,N,2014,37.8,T
12,NE,2014,44.4,T
12,SE,2014,62.0,T
12,S,2014,61.8,T
12,CO,2014,64.4,T
16,N,2014,66.9,T
16,NE,2014,72.1,T
16,SE,2014,87.7,T
16,S,2014,86.9,T
16,CO,2014,88.8,T
12,N,2013,35.4,T
12,NE,2013,39.0,T
12,SE,2013,57.6,T
12,S,2013,58.6,T
12,CO,2013,61.6,T
16,N,2013,64.7,T
16,NE,2013,65.4,T
16,SE,2013,83.9,T
16,S,2013,84.6,T
16,CO,2013,86.8,T
12,N,2011,28.8,T
12,NE,2011,32.6,T
12,SE,2011,48.8,T
12,S,2011,48.4,T
12,CO,2011,51.3,T
16,N,2011,56.2,T
16,NE,2011,55.9,T
16,SE,2011,75.7,T
16,S,2011,74.6,T
16,CO,2011,77.6,T
12,N,2009,16.5,T
12,NE,2009,19.8,T
12,SE,2009,35.8,T
12,S,2009,38.2,T
12,CO,2009,36.9,T
16,N,2009,35.4,T
16,NE,2009,38.6,T
16,SE,2009,59.3,T
16,S,2009,66.2,T
16,CO,2009,62.9,T
12,N,2008,16.4,T
12,NE,2008,18.4,T
12,SE,2008,33.6,T
12,S,2008,39.5,T
12,CO,2008,37.3,T
16,N,2008,34.3,T
16,NE,2008,35.5,T
16,SE,2008,56.3,T
16,S,2008,65.6,T
16,CO,2008,57.8,T
12,N,2005,9.8,T
12,NE,2005,10.2,T
12,SE,2005,23.3,T
12,S,2005,30.6,T
12,CO,2005,26.8,T
16,N,2005,20.5,T
16,NE,2005,20.4,T
16,SE,2005,41.4,T
16,S,2005,52.9,T
16,CO,2005,47.7,T
12,BR,2015,54.1,T
16,BR,2015,81,T
12,BR,2014,54.1,T
16,BR,2014,80.8,T
12,BR,2013,49.9,T
16,BR,2013,76.7,T
12,BR,2011,41.9,T
16,BR,2011,67.5,T
12,BR,2009,29.3,T
16,BR,2009,51.8,T
12,BR,2008,28.3,T
16,BR,2008,49.2,T
12,BR,2005,19.3,T
16,BR,2005,35.1,T