serie,ano,regiao,tipo_localizacao,tipo_escola,percentual_aprovacao,percentual_reprovacao,percentual_abandono
EF1,2015,N,T,TO,88.9,8.8,2.3
EF1,2015,N,T,PU,88.1,9.5,2.4
EF1,2015,N,T,FE,96.4,3.5,0.1
EF1,2015,N,T,ES,90.6,7.3,2.1
EF1,2015,N,T,MU,87.5,10.0,2.5
EF1,2015,N,T,PR,98.3,1.4,0.3
EF1,2015,N,U,TO,91.3,7.1,1.6
EF1,2015,N,U,PU,90.4,7.9,1.7
EF1,2015,N,U,FE,96.4,3.5,0.1
EF1,2015,N,U,ES,91.4,6.8,1.8
EF1,2015,N,U,MU,90.1,8.2,1.7
EF1,2015,N,U,PR,98.4,1.3,0.3
EF1,2015,N,R,TO,83.6,12.6,3.8
EF1,2015,N,R,PU,83.5,12.6,3.9
EF1,2015,N,R,FE,,,
EF1,2015,N,R,ES,85.8,10.2,4.0
EF1,2015,N,R,MU,83.3,12.8,3.9
EF1,2015,N,R,PR,89.6,9.3,1.1
EF1,2015,NE,T,TO,90.3,8.0,1.7
EF1,2015,NE,T,PU,88.6,9.4,2.0
EF1,2015,NE,T,FE,99.0,0.7,0.3
EF1,2015,NE,T,ES,85.5,11.4,3.1
EF1,2015,NE,T,MU,88.7,9.3,2.0
EF1,2015,NE,T,PR,97.6,2.0,0.4
EF1,2015,NE,U,TO,91.0,7.3,1.7
EF1,2015,NE,U,PU,88.7,9.2,2.1
EF1,2015,NE,U,FE,99.2,0.4,0.4
EF1,2015,NE,U,ES,86.1,11.1,2.8
EF1,2015,NE,U,MU,88.8,9.1,2.1
EF1,2015,NE,U,PR,97.6,2.0,0.4
EF1,2015,NE,R,TO,88.4,9.6,2.0
EF1,2015,NE,R,PU,88.4,9.7,1.9
EF1,2015,NE,R,FE,98.1,1.9,0.0
EF1,2015,NE,R,ES,82.6,12.7,4.7
EF1,2015,NE,R,MU,88.5,9.6,1.9
EF1,2015,NE,R,PR,96.2,3.2,0.6
EF1,2015,SE,T,TO,96.1,3.5,0.4
EF1,2015,SE,T,PU,95.6,4.0,0.4
EF1,2015,SE,T,FE,96.1,3.9,0.0
EF1,2015,SE,T,ES,98.5,1.3,0.2
EF1,2015,SE,T,MU,94.7,4.8,0.5
EF1,2015,SE,T,PR,98.1,1.8,0.1
EF1,2015,SE,U,TO,96.2,3.4,0.4
EF1,2015,SE,U,PU,95.7,3.9,0.4
EF1,2015,SE,U,FE,96.1,3.9,0.0
EF1,2015,SE,U,ES,98.5,1.2,0.3
EF1,2015,SE,U,MU,94.8,4.7,0.5
EF1,2015,SE,U,PR,98.1,1.8,0.1
EF1,2015,SE,R,TO,94.4,5.2,0.4
EF1,2015,SE,R,PU,94.4,5.2,0.4
EF1,2015,SE,R,FE,,,
EF1,2015,SE,R,ES,97.6,2.0,0.4
EF1,2015,SE,R,MU,94.0,5.6,0.4
EF1,2015,SE,R,PR,96.4,3.5,0.1
EF1,2015,S,T,TO,94.5,5.3,0.2
EF1,2015,S,T,PU,93.8,5.9,0.3
EF1,2015,S,T,FE,96.9,2.9,0.2
EF1,2015,S,T,ES,92.5,7.2,0.3
EF1,2015,S,T,MU,94.2,5.5,0.3
EF1,2015,S,T,PR,98.7,1.3,0.0
EF1,2015,S,U,TO,94.5,5.2,0.3
EF1,2015,S,U,PU,93.8,5.9,0.3
EF1,2015,S,U,FE,96.9,2.9,0.2
EF1,2015,S,U,ES,92.4,7.3,0.3
EF1,2015,S,U,MU,94.2,5.5,0.3
EF1,2015,S,U,PR,98.7,1.3,0.0
EF1,2015,S,R,TO,94.2,5.5,0.3
EF1,2015,S,R,PU,94.2,5.5,0.3
EF1,2015,S,R,FE,,,
EF1,2015,S,R,ES,92.9,6.5,0.6
EF1,2015,S,R,MU,94.5,5.3,0.2
EF1,2015,S,R,PR,96.4,3.4,0.2
EF1,2015,CO,T,TO,94.8,4.7,0.5
EF1,2015,CO,T,PU,93.9,5.5,0.6
EF1,2015,CO,T,FE,92.3,7.7,0.0
EF1,2015,CO,T,ES,93.9,5.7,0.4
EF1,2015,CO,T,MU,93.9,5.5,0.6
EF1,2015,CO,T,PR,99.0,0.9,0.1
EF1,2015,CO,U,TO,95.1,4.5,0.4
EF1,2015,CO,U,PU,94.1,5.4,0.5
EF1,2015,CO,U,FE,92.3,7.7,0.0
EF1,2015,CO,U,ES,93.9,5.7,0.4
EF1,2015,CO,U,MU,94.2,5.2,0.6
EF1,2015,CO,U,PR,99.0,0.8,0.2
EF1,2015,CO,R,TO,92.1,6.9,1.0
EF1,2015,CO,R,PU,92.1,6.9,1.0
EF1,2015,CO,R,FE,,,
EF1,2015,CO,R,ES,94.2,5.3,0.5
EF1,2015,CO,R,MU,91.4,7.4,1.2
EF1,2015,CO,R,PR,96.6,2.6,0.8
EF2,2015,N,T,TO,82.6,11.7,5.7
EF2,2015,N,T,PU,81.6,12.3,6.1
EF2,2015,N,T,FE,89.0,11.0,0.0
EF2,2015,N,T,ES,81.9,12.5,5.6
EF2,2015,N,T,MU,81.2,12.2,6.6
EF2,2015,N,T,PR,95.7,4.1,0.2
EF2,2015,N,U,TO,83.2,12.0,4.8
EF2,2015,N,U,PU,81.8,12.9,5.3
EF2,2015,N,U,FE,89.0,11.0,0.0
EF2,2015,N,U,ES,81.8,12.8,5.4
EF2,2015,N,U,MU,81.8,13.0,5.2
EF2,2015,N,U,PR,95.8,4.0,0.2
EF2,2015,N,R,TO,80.9,10.8,8.3
EF2,2015,N,R,PU,80.8,10.8,8.4
EF2,2015,N,R,FE,,,
EF2,2015,N,R,ES,82.2,10.2,7.6
EF2,2015,N,R,MU,80.5,11.0,8.5
EF2,2015,N,R,PR,89.0,9.5,1.5
EF2,2015,NE,T,TO,81.0,14.0,5.0
EF2,2015,NE,T,PU,78.9,15.4,5.7
EF2,2015,NE,T,FE,95.6,4.4,0.0
EF2,2015,NE,T,ES,75.5,18.9,5.6
EF2,2015,NE,T,MU,80.0,14.4,5.6
EF2,2015,NE,T,PR,94.4,5.2,0.4
EF2,2015,NE,U,TO,81.0,14.3,4.7
EF2,2015,NE,U,PU,78.1,16.2,5.7
EF2,2015,NE,U,FE,95.7,4.3,0.0
EF2,2015,NE,U,ES,75.5,19.1,5.4
EF2,2015,NE,U,MU,79.2,15.0,5.8
EF2,2015,NE,U,PR,94.4,5.2,0.4
EF2,2015,NE,R,TO,81.4,13.0,5.6
EF2,2015,NE,R,PU,81.3,13.0,5.7
EF2,2015,NE,R,FE,89.8,10.2,0.0
EF2,2015,NE,R,ES,75.9,15.5,8.6
EF2,2015,NE,R,MU,81.6,12.9,5.5
EF2,2015,NE,R,PR,91.8,7.2,1.0
EF2,2015,SE,T,TO,89.6,8.6,1.8
EF2,2015,SE,T,PU,88.4,9.5,2.1
EF2,2015,SE,T,FE,91.2,8.7,0.1
EF2,2015,SE,T,ES,89.5,8.4,2.1
EF2,2015,SE,T,MU,86.4,11.5,2.1
EF2,2015,SE,T,PR,95.4,4.5,0.1
EF2,2015,SE,U,TO,89.6,8.6,1.8
EF2,2015,SE,U,PU,88.3,9.5,2.2
EF2,2015,SE,U,FE,91.2,8.7,0.1
EF2,2015,SE,U,ES,89.5,8.4,2.1
EF2,2015,SE,U,MU,86.3,11.5,2.2
EF2,2015,SE,U,PR,95.4,4.5,0.1
EF2,2015,SE,R,TO,88.8,9.3,1.9
EF2,2015,SE,R,PU,88.6,9.4,2.0
EF2,2015,SE,R,FE,,,
EF2,2015,SE,R,ES,90.5,7.6,1.9
EF2,2015,SE,R,MU,87.5,10.6,1.9
EF2,2015,SE,R,PR,94.0,5.6,0.4
EF2,2015,S,T,TO,85.3,12.6,2.1
EF2,2015,S,T,PU,84.0,13.8,2.2
EF2,2015,S,T,FE,94.8,5.2,0.0
EF2,2015,S,T,ES,83.4,14.1,2.5
EF2,2015,S,T,MU,85.3,13.0,1.7
EF2,2015,S,T,PR,96.4,3.5,0.1
EF2,2015,S,U,TO,85.1,12.8,2.1
EF2,2015,S,U,PU,83.6,14.1,2.3
EF2,2015,S,U,FE,94.8,5.2,0.0
EF2,2015,S,U,ES,83.1,14.4,2.5
EF2,2015,S,U,MU,85.0,13.3,1.7
EF2,2015,S,U,PR,96.4,3.5,0.1
EF2,2015,S,R,TO,87.6,10.2,2.2
EF2,2015,S,R,PU,87.6,10.2,2.2
EF2,2015,S,R,FE,,,
EF2,2015,S,R,ES,87.8,9.7,2.5
EF2,2015,S,R,MU,87.3,10.9,1.8
EF2,2015,S,R,PR,91.8,7.9,0.3
EF2,2015,CO,T,TO,88.7,9.1,2.2
EF2,2015,CO,T,PU,87.2,10.2,2.6
EF2,2015,CO,T,FE,96.9,3.1,0.0
EF2,2015,CO,T,ES,86.6,10.6,2.8
EF2,2015,CO,T,MU,88.6,9.2,2.2
EF2,2015,CO,T,PR,96.5,3.4,0.1
EF2,2015,CO,U,TO,88.7,9.1,2.2
EF2,2015,CO,U,PU,87.1,10.3,2.6
EF2,2015,CO,U,FE,96.9,3.1,0.0
EF2,2015,CO,U,ES,86.5,10.7,2.8
EF2,2015,CO,U,MU,88.7,9.3,2.0
EF2,2015,CO,U,PR,96.4,3.4,0.2
EF2,2015,CO,R,TO,88.4,8.6,3.0
EF2,2015,CO,R,PU,88.2,8.8,3.0
EF2,2015,CO,R,FE,,,
EF2,2015,CO,R,ES,88.4,8.8,2.8
EF2,2015,CO,R,MU,88.1,8.8,3.1
EF2,2015,CO,R,PR,98.8,1.1,0.1
EM,2015,N,T,TO,77.1,9.7,13.2
EM,2015,N,T,PU,75.7,10.2,14.1
EM,2015,N,T,FE,84.2,12.4,3.4
EM,2015,N,T,ES,75.5,10.1,14.4
EM,2015,N,T,MU,84.9,8.2,6.9
EM,2015,N,T,PR,94.4,4.5,1.1
EM,2015,N,U,TO,76.8,10.0,13.2
EM,2015,N,U,PU,75.2,10.5,14.3
EM,2015,N,U,FE,83.6,12.7,3.7
EM,2015,N,U,ES,75.0,10.5,14.5
EM,2015,N,U,MU,82.6,9.3,8.1
EM,2015,N,U,PR,94.5,4.6,0.9
EM,2015,N,R,TO,79.6,6.9,13.5
EM,2015,N,R,PU,79.3,7.1,13.6
EM,2015,N,R,FE,87.2,10.9,1.9
EM,2015,N,R,ES,79.0,6.9,14.1
EM,2015,N,R,MU,92.3,4.8,2.9
EM,2015,N,R,PR,91.0,2.9,6.1
EM,2015,NE,T,TO,80.5,11.5,8.0
EM,2015,NE,T,PU,78.8,12.2,9.0
EM,2015,NE,T,FE,82.4,14.0,3.6
EM,2015,NE,T,ES,78.7,12.2,9.1
EM,2015,NE,T,MU,79.4,7.3,13.3
EM,2015,NE,T,PR,93.9,5.4,0.7
EM,2015,NE,U,TO,80.4,11.7,7.9
EM,2015,NE,U,PU,78.7,12.5,8.8
EM,2015,NE,U,FE,81.7,14.7,3.6
EM,2015,NE,U,ES,78.6,12.4,9.0
EM,2015,NE,U,MU,78.3,7.4,14.3
EM,2015,NE,U,PR,94.0,5.4,0.6
EM,2015,NE,R,TO,81.7,8.8,9.5
EM,2015,NE,R,PU,81.4,9.0,9.6
EM,2015,NE,R,FE,86.9,9.4,3.7
EM,2015,NE,R,ES,81.2,9.0,9.8
EM,2015,NE,R,MU,80.5,7.3,12.2
EM,2015,NE,R,PR,91.2,4.4,4.4
EM,2015,SE,T,TO,84.9,10.9,4.2
EM,2015,SE,T,PU,83.2,12.0,4.8
EM,2015,SE,T,FE,86.4,11.9,1.7
EM,2015,SE,T,ES,83.1,12.0,4.9
EM,2015,SE,T,MU,87.6,9.8,2.6
EM,2015,SE,T,PR,94.5,5.3,0.2
EM,2015,SE,U,TO,84.8,11.0,4.2
EM,2015,SE,U,PU,83.1,12.1,4.8
EM,2015,SE,U,FE,86.6,12.0,1.4
EM,2015,SE,U,ES,83.0,12.1,4.9
EM,2015,SE,U,MU,87.6,9.8,2.6
EM,2015,SE,U,PR,94.5,5.3,0.2
EM,2015,SE,R,TO,90.1,6.5,3.4
EM,2015,SE,R,PU,89.9,6.6,3.5
EM,2015,SE,R,FE,85.3,11.2,3.5
EM,2015,SE,R,ES,90.5,6.0,3.5
EM,2015,SE,R,MU,88.2,6.2,5.6
EM,2015,SE,R,PR,94.2,4.2,1.6
EM,2015,S,T,TO,79.0,13.6,7.4
EM,2015,S,T,PU,76.6,14.9,8.5
EM,2015,S,T,FE,86.4,11.0,2.6
EM,2015,S,T,ES,76.4,15.0,8.6
EM,2015,S,T,MU,71.4,17.3,11.3
EM,2015,S,T,PR,95.0,4.7,0.3
EM,2015,S,U,TO,78.8,13.7,7.5
EM,2015,S,U,PU,76.3,15.1,8.6
EM,2015,S,U,FE,86.3,10.9,2.8
EM,2015,S,U,ES,76.1,15.2,8.7
EM,2015,S,U,MU,69.5,18.8,11.7
EM,2015,S,U,PR,95.0,4.7,0.3
EM,2015,S,R,TO,84.8,9.3,5.9
EM,2015,S,R,PU,84.5,9.5,6.0
EM,2015,S,R,FE,86.8,11.5,1.7
EM,2015,S,R,ES,84.3,9.4,6.3
EM,2015,S,R,MU,85.2,6.8,8.0
EM,2015,S,R,PR,93.8,5.1,1.1
EM,2015,CO,T,TO,79.2,12.9,7.9
EM,2015,CO,T,PU,76.4,14.3,9.3
EM,2015,CO,T,FE,88.3,9.9,1.8
EM,2015,CO,T,ES,76.1,14.4,9.5
EM,2015,CO,T,MU,92.6,5.6,1.8
EM,2015,CO,T,PR,95.0,4.6,0.4
EM,2015,CO,U,TO,79.2,12.9,7.9
EM,2015,CO,U,PU,76.4,14.4,9.2
EM,2015,CO,U,FE,88.9,9.5,1.6
EM,2015,CO,U,ES,76.1,14.5,9.4
EM,2015,CO,U,MU,90.9,6.9,2.2
EM,2015,CO,U,PR,95.0,4.7,0.3
EM,2015,CO,R,TO,78.4,12.0,9.6
EM,2015,CO,R,PU,77.5,12.5,10.0
EM,2015,CO,R,FE,86.4,11.0,2.6
EM,2015,CO,R,ES,76.1,12.8,11.1
EM,2015,CO,R,MU,95.2,3.4,1.4
EM,2015,CO,R,PR,96.3,2.8,0.9
EF1,2014,N,T,TO,88.7,8.9,2.4
EF1,2014,N,T,PU,87.9,9.5,2.6
EF1,2014,N,T,PR,98.3,1.4,0.3
EF1,2014,N,T,MU,87.4,9.9,2.7
EF1,2014,N,T,FE,95.4,4.3,0.3
EF1,2014,N,T,ES,90.1,7.9,2
EF1,2014,N,R,TO,84,12,4
EF1,2014,N,R,PU,84,12,4
EF1,2014,N,R,PR,89,10.2,0.8
EF1,2014,N,R,MU,83.9,12.1,4
EF1,2014,N,R,FE,,,
EF1,2014,N,R,ES,85.2,11.1,3.7
EF1,2014,N,U,TO,90.9,7.4,1.7
EF1,2014,N,U,PU,89.9,8.2,1.9
EF1,2014,N,U,PR,98.4,1.3,0.3
EF1,2014,N,U,MU,89.6,8.5,1.9
EF1,2014,N,U,FE,95.4,4.3,0.3
EF1,2014,N,U,ES,91,7.3,1.7
EF1,2014,NE,T,TO,89.6,8.5,1.9
EF1,2014,NE,T,PU,87.8,9.9,2.3
EF1,2014,NE,T,PR,97.3,2.2,0.5
EF1,2014,NE,T,MU,87.9,9.8,2.3
EF1,2014,NE,T,FE,98.8,0.8,0.4
EF1,2014,NE,T,ES,85.5,11.5,3
EF1,2014,NE,R,TO,88,9.9,2.1
EF1,2014,NE,R,PU,88,9.9,2.1
EF1,2014,NE,R,PR,95.2,4.4,0.4
EF1,2014,NE,R,MU,88.1,9.8,2.1
EF1,2014,NE,R,FE,96.7,3.3,0
EF1,2014,NE,R,ES,82,13.9,4.1
EF1,2014,NE,U,TO,90.2,7.9,1.9
EF1,2014,NE,U,PU,87.7,9.9,2.4
EF1,2014,NE,U,PR,97.4,2.2,0.4
EF1,2014,NE,U,MU,87.8,9.8,2.4
EF1,2014,NE,U,FE,99.5,0,0.5
EF1,2014,NE,U,ES,86.2,11,2.8
EF1,2014,SE,T,TO,95.7,3.9,0.4
EF1,2014,SE,T,PU,95.2,4.4,0.4
EF1,2014,SE,T,PR,97.9,2,0.1
EF1,2014,SE,T,MU,94.2,5.3,0.5
EF1,2014,SE,T,FE,96.6,3.3,0.1
EF1,2014,SE,T,ES,98.4,1.3,0.3
EF1,2014,SE,R,TO,94,5.6,0.4
EF1,2014,SE,R,PU,94,5.6,0.4
EF1,2014,SE,R,PR,95.7,4.2,0.1
EF1,2014,SE,R,MU,93.6,6,0.4
EF1,2014,SE,R,FE,,,
EF1,2014,SE,R,ES,97.9,1.7,0.4
EF1,2014,SE,U,TO,95.8,3.8,0.4
EF1,2014,SE,U,PU,95.3,4.3,0.4
EF1,2014,SE,U,PR,97.9,2,0.1
EF1,2014,SE,U,MU,94.2,5.2,0.6
EF1,2014,SE,U,FE,96.6,3.3,0.1
EF1,2014,SE,U,ES,98.4,1.3,0.3
EF1,2014,S,T,TO,94.3,5.4,0.3
EF1,2014,S,T,PU,93.7,6,0.3
EF1,2014,S,T,PR,98.5,1.5,0
EF1,2014,S,T,MU,93.9,5.8,0.3
EF1,2014,S,T,FE,97.6,2,0.4
EF1,2014,S,T,ES,93,6.6,0.4
EF1,2014,S,R,TO,94.3,5.3,0.4
EF1,2014,S,R,PU,94.3,5.3,0.4
EF1,2014,S,R,PR,97,2.4,0.6
EF1,2014,S,R,MU,94.5,5.3,0.2
EF1,2014,S,R,FE,,,
EF1,2014,S,R,ES,93.7,5.6,0.7
EF1,2014,S,U,TO,94.3,5.4,0.3
EF1,2014,S,U,PU,93.6,6.1,0.3
EF1,2014,S,U,PR,98.5,1.5,0
EF1,2014,S,U,MU,93.9,5.9,0.2
EF1,2014,S,U,FE,97.6,2,0.4
EF1,2014,S,U,ES,92.9,6.7,0.4
EF1,2014,CO,T,TO,94.3,5.1,0.6
EF1,2014,CO,T,PU,93.4,6,0.6
EF1,2014,CO,T,PR,98.8,1,0.2
EF1,2014,CO,T,MU,93.3,6,0.7
EF1,2014,CO,T,FE,90.4,9.6,0
EF1,2014,CO,T,ES,93.6,6,0.4
EF1,2014,CO,R,TO,91.6,7.2,1.2
EF1,2014,CO,R,PU,91.5,7.3,1.2
EF1,2014,CO,R,PR,98,2,0
EF1,2014,CO,R,MU,90.7,7.9,1.4
EF1,2014,CO,R,FE,,,
EF1,2014,CO,R,ES,94.1,5.4,0.5
EF1,2014,CO,U,TO,94.6,4.9,0.5
EF1,2014,CO,U,PU,93.6,5.8,0.6
EF1,2014,CO,U,PR,98.9,1,0.1
EF1,2014,CO,U,MU,93.6,5.7,0.7
EF1,2014,CO,U,FE,90.4,9.6,0
EF1,2014,CO,U,ES,93.5,6.1,0.4
EF2,2014,N,T,TO,81.6,12.6,5.8
EF2,2014,N,T,PU,80.5,13.2,6.3
EF2,2014,N,T,PR,95.1,4.6,0.3
EF2,2014,N,T,MU,80.8,12.3,6.9
EF2,2014,N,T,FE,86.7,13.2,0.1
EF2,2014,N,T,ES,80.2,14.1,5.7
EF2,2014,N,R,TO,81.8,10,8.2
EF2,2014,N,R,PU,81.7,10.1,8.2
EF2,2014,N,R,PR,90.7,7.1,2.2
EF2,2014,N,R,MU,81.7,9.9,8.4
EF2,2014,N,R,FE,,,
EF2,2014,N,R,ES,82,10.7,7.3
EF2,2014,N,U,TO,81.6,13.4,5
EF2,2014,N,U,PU,80.1,14.4,5.5
EF2,2014,N,U,PR,95.2,4.6,0.2
EF2,2014,N,U,MU,80.3,14,5.7
EF2,2014,N,U,FE,86.7,13.2,0.1
EF2,2014,N,U,ES,80,14.6,5.4
EF2,2014,NE,T,TO,79.7,14.8,5.5
EF2,2014,NE,T,PU,77.5,16.2,6.3
EF2,2014,NE,T,PR,93.8,5.8,0.4
EF2,2014,NE,T,MU,78.4,15.2,6.4
EF2,2014,NE,T,FE,90.3,9.7,0
EF2,2014,NE,T,ES,74.6,19.1,6.3
EF2,2014,NE,R,TO,80.5,13.4,6.1
EF2,2014,NE,R,PU,80.4,13.5,6.1
EF2,2014,NE,R,PR,92,6.2,1.8
EF2,2014,NE,R,MU,80.5,13.4,6.1
EF2,2014,NE,R,FE,95.7,4.3,0
EF2,2014,NE,R,ES,78.5,15,6.5
EF2,2014,NE,U,TO,79.5,15.1,5.4
EF2,2014,NE,U,PU,76.5,17,6.5
EF2,2014,NE,U,PR,93.9,5.7,0.4
EF2,2014,NE,U,MU,77.5,16,6.5
EF2,2014,NE,U,FE,90.2,9.8,0
EF2,2014,NE,U,ES,74.4,19.3,6.3
EF2,2014,SE,T,TO,89.1,8.9,2
EF2,2014,SE,T,PU,87.9,9.6,2.5
EF2,2014,SE,T,PR,94.8,5.1,0.1
EF2,2014,SE,T,MU,85.3,12.4,2.3
